"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","522103","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","0 to 4 years","Persons","249","units","0","v467199","2.1.7","20402","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","5 to 9 years","Persons","249","units","0","v467013","2.1.13","23376","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","10 to 14 years","Persons","249","units","0","v467031","2.1.19","26186","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","15 to 19 years","Persons","249","units","0","v467052","2.1.25","26994","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","20 to 24 years","Persons","249","units","0","v467073","2.1.31","28910","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","25 to 29 years","Persons","249","units","0","v467091","2.1.37","28076","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","30 to 34 years","Persons","249","units","0","v467112","2.1.43","28942","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","35 to 39 years","Persons","249","units","0","v467130","2.1.49","30151","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","40 to 44 years","Persons","249","units","0","v467151","2.1.55","31426","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","45 to 49 years","Persons","249","units","0","v467172","2.1.61","35754","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","50 to 54 years","Persons","249","units","0","v467190","2.1.67","40214","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","55 to 59 years","Persons","249","units","0","v467211","2.1.73","43105","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","60 to 64 years","Persons","249","units","0","v467229","2.1.79","42339","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","65 to 69 years","Persons","249","units","0","v467250","2.1.85","39718","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","70 to 74 years","Persons","249","units","0","v467253","2.1.86","33179","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","75 to 79 years","Persons","249","units","0","v467256","2.1.87","20458","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","80 to 84 years","Persons","249","units","0","v467259","2.1.88","12617","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","85 to 89 years","Persons","249","units","0","v467262","2.1.89","6662","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","90 to 94 years","Persons","249","units","0","v31226563","2.1.126","2715","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","95 to 99 years","Persons","249","units","0","v31226569","2.1.132","751","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","100 years and over","Persons","249","units","0","v31226575","2.1.138","128","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Both sexes","Median age","Years","308","units","0","v467004","2.1.105","47.4","","","","1"
"2020","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","159625","","","","0"
"2020","Prince Edward Island","2016A000211","Both sexes","0 to 4 years","Persons","249","units","0","v467514","3.1.7","7199","","","","0"
